state,x,y
Andhra Pradesh,-63,-98
Arunachal Pradesh,222,153
Assam,198,114
Bihar,55,84
Chhattisgarh,-10,-13
Goa,-176,-135
Gujarat,-221,36
Haryana,-121,162
Himachal Pradesh,-99,225
Jammu and Kashmir,-110,289
Jharkhand,58,52
Karnataka,-141,-174
Kerala,-126,-252
Madhya Pradesh,-100,22
Maharashtra,-154,-54
Manipur,230,83
Meghalaya,171,94
Mizoram,211,46
Nagaland,239,116
Odisha,40,-18
Punjab,-143,195
Rajasthan,-181,119
Sikkim,114,135
Tamil Nadu,-85,-239
Tripura,186,54
Uttar Pradesh,-38,125
Uttarakhand,-69,182
West Bengal,116,24
